pitch,time_start,duration,beat_type,string,position,finger
69,399,120,8th,N/A,N/A,N/A
69,0,120,8th,N/A,N/A,N/A
68,79,240,8th,N/A,N/A,N/A
71,160,120,8th,N/A,N/A,N/A
62,320,240,16th,N/A,N/A,N/A
64,360,120,16th,N/A,N/A,N/A
65,399,0,8th,N/A,N/A,N/A
62,79,0,16th,N/A,N/A,N/A
64,120,120,16th,N/A,N/A,N/A
65,160,120,8th,N/A,N/A,N/A
64,320,120,16th,N/A,N/A,N/A
65,360,120,16th,N/A,N/A,N/A
64,399,120,16th,N/A,N/A,N/A
62,440,120,16th,N/A,N/A,N/A
60,0,240,16th,N/A,N/A,N/A
62,40,120,16th,N/A,N/A,N/A
60,79,240,16th,N/A,N/A,N/A
59,120,0,16th,N/A,N/A,N/A
57,160,120,8th,N/A,N/A,N/A
88,240,120,16th,N/A,N/A,N/A
89,240,120,16th,N/A,N/A,N/A
88,240,120,8th,N/A,N/A,N/A
87,320,120,8th,N/A,N/A,N/A
88,399,120,8th,N/A,N/A,N/A
86,0,120,8th,N/A,N/A,N/A
84,160,240,8th,N/A,N/A,N/A
84,240,120,4th,N/A,N/A,N/A
83,399,120,8th,N/A,N/A,N/A
83,0,120,4th,N/A,N/A,N/A
81,160,120,8th,N/A,N/A,N/A
81,240,120,16th,N/A,N/A,N/A
83,240,60,16th,N/A,N/A,N/A
81,240,60,8th,N/A,N/A,N/A
80,320,120,8th,N/A,N/A,N/A
81,399,120,8th,N/A,N/A,N/A
79,0,60,8th,N/A,N/A,N/A
77,160,60,8th,N/A,N/A,N/A
77,240,120,4th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
76,0,60,4th,N/A,N/A,N/A
75,160,60,8th,N/A,N/A,N/A
75,240,60,16th,N/A,N/A,N/A
76,240,60,16th,N/A,N/A,N/A
75,240,60,8th,N/A,N/A,N/A
74,320,60,8th,N/A,N/A,N/A
75,399,60,8th,N/A,N/A,N/A
83,0,60,8th,N/A,N/A,N/A
79,160,120,8th,N/A,N/A,N/A
79,240,0,4th,N/A,N/A,N/A
76,399,0,8th,N/A,N/A,N/A
76,0,120,4th,N/A,N/A,N/A
72,160,120,8th,N/A,N/A,N/A
72,320,120,16th,N/A,N/A,N/A
74,360,120,16th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
67,79,120,16th,N/A,N/A,N/A
69,120,240,16th,N/A,N/A,N/A
71,160,120,8th,N/A,N/A,N/A
63,320,240,16th,N/A,N/A,N/A
64,360,120,16th,N/A,N/A,N/A
66,399,0,16th,N/A,N/A,N/A
67,440,0,16th,N/A,N/A,N/A
64,0,120,4th,N/A,N/A,N/A
76,240,120,16th,N/A,N/A,N/A
78,240,120,16th,N/A,N/A,N/A
76,240,120,8th,N/A,N/A,N/A
75,320,120,8th,N/A,N/A,N/A
76,399,120,8th,N/A,N/A,N/A
